FIPS_Code,State,County,Year,Unemployment_rate_2023,Poverty_Rate_Pct,Median_Income,Population,Education_Bachelor_Pct,Low_Access_Pct,Food_Insecurity_Rate,Child_Food_Insecurity_Rate,Food_Insecure_Persons,Snap_Threshold,Pct_FI_Below_Snap,Border_State,Is_Border_County
35023,NM,"Hidalgo County, NM",2022,3.3000000000000003,24,43610,3965,17.769310703152062,34.43521118164063,0.164,0.252,680,1.65,0.743,Border State,Border County
35023,NM,"Hidalgo County, NM",2023,3.3000000000000003,24,43610,3965,17.769310703152062,34.43521118164063,0.165,0.233,670,2,0.872,Border State,Border County
35029,NM,"Luna County, NM",2019,10,26.400000000000002,38796,25316,14.726550565230676,37.41855239868164,0.214,0.327,5150,1.65,0.923,Border State,Border County
35029,NM,"Luna County, NM",2020,10,26.400000000000002,38796,25316,14.726550565230676,37.41855239868164,0.202,0.327,4860,1.65,0.968,Border State,Border County
35029,NM,"Luna County, NM",2021,10,26.400000000000002,38796,25316,14.726550565230676,37.41855239868164,0.206,0.298,5200,1.65,0.897,Border State,Border County
35029,NM,"Luna County, NM",2022,10,26.400000000000002,38796,25316,14.726550565230676,37.41855239868164,0.212,0.311,5370,1.65,0.916,Border State,Border County
35029,NM,"Luna County, NM",2023,10,26.400000000000002,38796,25316,14.726550565230676,37.41855239868164,0.228,0.318,5810,2,0.97,Border State,Border County
48043,TX,"Brewster County, TX",2019,3.2,13.700000000000001,52388,9513,45.27064732142857,38.63958358764648,0.156,0.165,1440,1.65,0.594,Border State,Border County
48043,TX,"Brewster County, TX",2020,3.2,13.700000000000001,52388,9513,45.27064732142857,38.63958358764648,0.158,0.173,1460,1.65,0.627,Border State,Border County
48043,TX,"Brewster County, TX",2021,3.2,13.700000000000001,52388,9513,45.27064732142857,38.63958358764648,0.143,0.13,1360,1.65,0.567,Border State,Border County
48043,TX,"Brewster County, TX",2022,3.2,13.700000000000001,52388,9513,45.27064732142857,38.63958358764648,0.178,0.204,1680,1.65,0.558,Border State,Border County
48043,TX,"Brewster County, TX",2023,3.2,13.700000000000001,52388,9513,45.27064732142857,38.63958358764648,0.167,0.165,1580,1.65,0.484,Border State,Border County
48061,TX,"Cameron County, TX",2019,5.4,23.5,49583,426710,20.558113905616562,32.17157745361328,0.175,0.257,73730,1.65,0.938,Border State,Border County
48061,TX,"Cameron County, TX",2020,5.4,23.5,49583,426710,20.558113905616562,32.17157745361328,0.179,0.283,75390,1.65,0.901,Border State,Border County
48061,TX,"Cameron County, TX",2021,5.4,23.5,49583,426710,20.558113905616562,32.17157745361328,0.18,0.234,75650,1.65,0.798,Border State,Border County
48061,TX,"Cameron County, TX",2022,5.4,23.5,49583,426710,20.558113905616562,32.17157745361328,0.219,0.272,92480,1.65,0.818,Border State,Border County
48061,TX,"Cameron County, TX",2023,5.4,23.5,49583,426710,20.558113905616562,32.17157745361328,0.225,0.251,95060,1.65,0.858,Border State,Border County
48141,TX,"El Paso County, TX",2019,4.4,18.5,53441,869880,25.36119059771263,20.31289100646973,0.146,0.208,121760,1.65,0.871,Border State,Border County
48141,TX,"El Paso County, TX",2020,4.4,18.5,53441,869880,25.36119059771263,20.31289100646973,0.151,0.238,126370,1.65,0.831,Border State,Border County
48141,TX,"El Paso County, TX",2021,4.4,18.5,53441,869880,25.36119059771263,20.31289100646973,0.15,0.195,128910,1.65,0.74,Border State,Border County
